Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500250,LGBBROSLTD,LG Balakrishnan & Bros Ltd,15 Mar 2010,Consolidation of Shares ,17 Mar 2010,-,-,10 Mar 2010,16 Mar 2010,-
514446,LSIND,LS Industries Ltd,26 May 2010,Consolidation of Shares ,09 Jun 2010,-,-,26 May 2010,14 Jun 2010,-
523840,INNOVTEC,Innovative Tech Pack Ltd,16 Sep 2010,Consolidation of Shares ,17 Sep 2010,-,-,09 Sep 2010,16 Sep 2010,-
512535,ASAHINFRA,Asahi Infrastructure & Projects Ltd,03 Nov 2010,Consolidation of Shares ,04 Nov 2010,-,-,28 Oct 2010,02 Nov 2010,-
504180,STDBAT,Standard Batteries Ltd,09 Nov 2010,Consolidation of Shares ,10 Nov 2010,-,-,03 Nov 2010,09 Nov 2010,-
531881,GMETCOAL,Gujarat Metallic Coal & Coke Ltd-$,04 Mar 2011,Consolidation of Shares ,07 Mar 2011,-,-,25 Feb 2011,04 Mar 2011,-
532183,GAYATRI,Gayatri Sugars Ltd,27 Apr 2011,Consolidation of Shares ,28 Apr 2011,-,-,20 Apr 2011,27 Apr 2011,-
532161,BAFEG,Baffin Engineering Projects Ltd,17 Jun 2011,Consolidation of Shares ,20 Jun 2011,-,-,13 Jun 2011,17 Jun 2011,-
511391,INTRGLB,Inter Globe Finance Ltd,05 Jul 2011,Consolidation of Shares ,15 Jul 2011,-,-,05 Jul 2011,20 Jul 2011,-
514470,WINSOMTX,Winsome Textile Industries Ltd-$,15 Jul 2011,Consolidation of Shares ,18 Jul 2011,-,-,11 Jul 2011,15 Jul 2011,-
532379,FIRSTFIN,First Fintec Ltd,25 Jul 2011,Consolidation of Shares ,26 Jul 2011,-,-,19 Jul 2011,25 Jul 2011,-
514348,WINSOME,Winsome Yarns Ltd,04 Aug 2011,Consolidation of Shares ,05 Aug 2011,-,-,29 Jul 2011,04 Aug 2011,-
530151,VIJAYTX,Vijay Textiles Ltd,02 Sep 2011,Consolidation of Shares ,05 Sep 2011,-,-,25 Aug 2011,02 Sep 2011,-
526133,SUPERTEX,Supertex Industries Ltd,07 Sep 2011,Consolidation of Shares ,08 Sep 2011,-,-,30 Aug 2011,07 Sep 2011,-
530361,PRABHHANS,Prabhhans Industries Ltd,15 Sep 2011,Consolidation of Shares ,-,27 Sep 2011,30 Sep 2011,15 Sep 2011,30 Sep 2011,-
524752,DECIPHER,Decipher Labs Ltd,19 Sep 2011,Consolidation of Shares ,01 Oct 2011,-,-,19 Sep 2011,04 Oct 2011,-
526001,JAUSPOL,Jauss Polymers Ltd,03 Oct 2011,Consolidation of Shares ,15 Oct 2011,-,-,03 Oct 2011,19 Oct 2011,-
532900,PAISALO,Paisalo Digital Ltd,04 Oct 2011,Consolidation of Shares ,05 Oct 2011,-,-,27 Sep 2011,04 Oct 2011,-
