,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
0,500463,BBOX,Black Box Ltd,04 Jan 2010,Dividend - Rs. - 3.5000,-,06 Jan 2010,29 Jan 2010,29 Dec 2009,05 Jan 2010,-
1,532955,RECLTD,REC Ltd,04 Jan 2010,Interim Dividend - Rs. - 3.0000,05 Jan 2010,-,-,24 Dec 2009,04 Jan 2010,-
2,523411,ADCINDIA,ADC India Communications Ltd-$,08 Jan 2010,Dividend - Rs. - 1.5000,-,12 Jan 2010,22 Jan 2010,05 Jan 2010,11 Jan 2010,-
3,505010,AUTOAXLES,Automotive Axles Ltd,11 Jan 2010,Dividend - Rs. - 2.7000,-,13 Jan 2010,15 Jan 2010,06 Jan 2010,12 Jan 2010,-
4,532898,POWERGRID,Power Grid Corporation of India Ltd,11 Jan 2010,Interim Dividend - Rs. - 0.5000,12 Jan 2010,-,-,05 Jan 2010,11 Jan 2010,-
5,500038,BALRAMCHIN,Balrampur Chini Mills Ltd,12 Jan 2010,Dividend - Rs. - 3.0000,-,14 Jan 2010,29 Jan 2010,07 Jan 2010,13 Jan 2010,-
6,509048,LANCORHOL,Lancor Holdings Ltd,12 Jan 2010,Interim Dividend - Rs. - 1.0000,13 Jan 2010,-,-,06 Jan 2010,12 Jan 2010,-
7,507410,WALCHANNAG,Walchandnagar Industries Ltd,12 Jan 2010,Dividend - Rs. - 1.0000,-,14 Jan 2010,20 Jan 2010,07 Jan 2010,13 Jan 2010,-
8,503722,BANSWRAS,Banswara Syntex Ltd-$,14 Jan 2010,Interim Dividend - Rs. - 1.5000,15 Jan 2010,-,-,08 Jan 2010,14 Jan 2010,-
9,523704,MASTEK,Mastek Ltd,15 Jan 2010,Interim Dividend - Rs. - 2.0000,18 Jan 2010,-,-,11 Jan 2010,15 Jan 2010,-
10,526721,NICCOPAR,Nicco Parks & Resorts Ltd-$,15 Jan 2010,Dividend - Rs. - 1.2000,-,19 Jan 2010,29 Jan 2010,12 Jan 2010,18 Jan 2010,-
11,509930,SUPREMEIND,Supreme Industries Ltd,18 Jan 2010,Interim Dividend - Rs. - 5.0000,19 Jan 2010,-,-,12 Jan 2010,18 Jan 2010,-
12,500550,SIEMENS,Siemens Ltd,19 Jan 2010,Dividend - Rs. - 5.0000,-,21 Jan 2010,29 Jan 2010,14 Jan 2010,20 Jan 2010,-
13,531862,BHARATAGRI,Bharat Agri Fert & Realty Ltd,20 Jan 2010,Interim Dividend - Rs. - 0.0000,21 Jan 2010,-,-,14 Jan 2010,20 Jan 2010,-
14,532649,NECLIFE,Nectar Lifesciences Ltd,21 Jan 2010,Interim Dividend - Rs. - 0.2500,22 Jan 2010,-,-,15 Jan 2010,21 Jan 2010,-
15,532900,PAISALO,Paisalo Digital Ltd,21 Jan 2010,Interim Dividend - Rs. - 1.0000,22 Jan 2010,-,-,15 Jan 2010,21 Jan 2010,-
16,532661,RML,Rane (Madras) Ltd,21 Jan 2010,Interim Dividend - Rs. - 2.5000,23 Jan 2010,-,-,18 Jan 2010,21 Jan 2010,-
