Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532915,RELIGARE,Religare Enterprises Ltd,15 Jan 2010,Right Issue of Equity Shares ,18 Jan 2010,-,-,11 Jan 2010,15 Jan 2010,-
505192,SMLISUZU,SML Isuzu Ltd,09 Feb 2010,Right Issue of Equity Shares ,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-
506520,JAYCH,Jayshree Chemicals Ltd,17 Feb 2010,Right Issue of Equity Shares ,18 Feb 2010,-,-,10 Feb 2010,17 Feb 2010,-
506194,ARIHANTSUP,Arihant Superstructures Ltd,19 Feb 2010,Right Issue of Equity Shares ,05 Mar 2010,-,-,19 Feb 2010,10 Mar 2010,-
506134,GOURMET,Gourmet Gateway India Ltd,02 Mar 2010,Right Issue of Equity Shares ,03 Mar 2010,-,-,23 Feb 2010,02 Mar 2010,-
505285,TULIVE,Tulive Developers Ltd,05 Mar 2010,Right Issue of Equity Shares ,19 Mar 2010,-,-,05 Mar 2010,23 Mar 2010,-
511389,VIDEOIND,Videocon Industries Ltd,18 Mar 2010,Right Issue of Equity Shares ,-,22 Mar 2010,30 Mar 2010,12 Mar 2010,19 Mar 2010,-
512599,ADANIENT,Adani Enterprises Ltd,23 Mar 2010,Right Issue of Equity Shares ,25 Mar 2010,-,-,17 Mar 2010,23 Mar 2010,-
533100,PEIL,Premier Energy and Infrastructure Ltd,06 May 2010,Right Issue of Equity Shares ,07 May 2010,-,-,30 Apr 2010,06 May 2010,-
531216,COMFINTE,Comfort Intech Ltd,02 Jun 2010,Right Issue of Equity Shares ,03 Jun 2010,-,-,26 May 2010,02 Jun 2010,-
532667,SUZLON,Suzlon Energy Ltd,09 Jun 2010,Right Issue of Equity Shares ,10 Jun 2010,-,-,03 Jun 2010,09 Jun 2010,-
506480,GOCLCORP,GOCL Corporation Ltd,27 Jul 2010,Right Issue of Equity Shares ,-,29 Jul 2010,29 Jul 2010,22 Jul 2010,28 Jul 2010,-
532834,CAMLINFINE,Camlin Fine Sciences Ltd,30 Jul 2010,Right Issue of Equity Shares ,02 Aug 2010,-,-,26 Jul 2010,30 Jul 2010,-
515037,MURUDCERA,Murudeshwar Ceramics Ltd,19 Oct 2010,Right Issue of Equity Shares ,20 Oct 2010,-,-,13 Oct 2010,19 Oct 2010,-
