Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
530343,GENUSPOWER,Genus Power Infrastructures Ltd,09 Jan 2014,Spin Off ,11 Jan 2014,-,-,09 Jan 2014,09 Jan 2014,-
532144,WELCORP,Welspun Corp Ltd,18 Feb 2014,Spin Off ,20 Feb 2014,-,-,13 Feb 2014,19 Feb 2014,-
523736,DVL,Dhunseri Ventures Ltd,18 Sep 2014,Spin Off ,19 Sep 2014,-,-,12 Sep 2014,18 Sep 2014,-
526797,GREENPLY,Greenply Industries Ltd,26 Nov 2014,Spin Off ,27 Nov 2014,-,-,20 Nov 2014,26 Nov 2014,-
532626,POCL,Pondy Oxides & Chemicals Ltd,08 Jan 2015,Spin Off ,09 Jan 2015,-,-,05 Jan 2015,08 Jan 2015,-
502355,BALKRISIND,Balkrishna Industries Ltd,24 Mar 2015,Spin Off ,25 Mar 2015,-,-,18 Mar 2015,24 Mar 2015,-
500101,ARVIND,Arvind Ltd,28 May 2015,Spin Off ,29 May 2015,-,-,22 May 2015,28 May 2015,-
512599,ADANIENT,Adani Enterprises Ltd,03 Jun 2015,Spin Off ,04 Jun 2015,-,-,28 May 2015,03 Jun 2015,-
523704,MASTEK,Mastek Ltd,12 Jun 2015,Spin Off ,15 Jun 2015,-,-,08 Jun 2015,12 Jun 2015,-
500465,VARUNSHIP,Varun Shipping Company Ltd,30 Jul 2015,Spin Off ,31 Jul 2015,-,-,24 Jul 2015,30 Jul 2015,-
530109,ANUPAM,Anupam Finserv Ltd,10 Sep 2015,Spin Off ,11 Sep 2015,-,-,04 Sep 2015,10 Sep 2015,-
532980,GOKUL,Gokul Refoils & Solvent Ltd,16 Sep 2015,Spin Off ,-,19 Sep 2015,26 Sep 2015,11 Sep 2015,16 Sep 2015,-
538858,CAMSONBIO,Camson Bio Technologies Ltd,21 Sep 2015,Spin Off ,-,23 Sep 2015,24 Sep 2015,15 Sep 2015,22 Sep 2015,-
522229,TANAA,Taneja Aerospace & Aviation Ltd,28 Sep 2015,Spin Off ,-,30 Sep 2015,30 Sep 2015,22 Sep 2015,29 Sep 2015,-
532508,JSL,Jindal Stainless Ltd,19 Nov 2015,Spin Off ,21 Nov 2015,-,-,16 Nov 2015,19 Nov 2015,-
500271,MFSL,Max Financial Services Ltd,27 Jan 2016,Spin Off ,28 Jan 2016,-,-,20 Jan 2016,27 Jan 2016,-
516092,3PLAND,3P Land Holdings Ltd,11 Feb 2016,Spin Off ,12 Feb 2016,-,-,05 Feb 2016,11 Feb 2016,-
500343,AMJLAND,AMJ Land Holdings Ltd,11 Feb 2016,Spin Off ,12 Feb 2016,-,-,05 Feb 2016,11 Feb 2016,-
500093,CGPOWER,CG Power and Industrial Solutions Ltd,15 Mar 2016,Spin Off ,16 Mar 2016,-,-,09 Mar 2016,15 Mar 2016,-
530943,SABTNL,Sri Adhikari Brothers Television Network Ltd,22 Mar 2016,Spin Off ,23 Mar 2016,-,-,16 Mar 2016,22 Mar 2016,-
531453,MOHITIND,Mohit Industries Ltd,30 Mar 2016,Spin Off ,31 Mar 2016,-,-,22 Mar 2016,29 Mar 2016,-
523574,FEL,Future Enterprises Ltd,11 May 2016,Spin Off ,12 May 2016,-,-,05 May 2016,11 May 2016,-
570002,FELDVR,Future Enterprises Ltd_DVR,11 May 2016,Spin Off ,12 May 2016,-,-,05 May 2016,11 May 2016,-
532624,JINDALPHOT,Jindal Photo Ltd,12 May 2016,Spin Off ,13 May 2016,-,-,06 May 2016,12 May 2016,-
532374,STLTECH,Sterlite Technologies Ltd,15 Jun 2016,Spin Off ,16 Jun 2016,-,-,09 Jun 2016,15 Jun 2016,-
507912,LKPFIN,LKP Finance Ltd,05 Jul 2016,Spin Off ,07 Jul 2016,-,-,29 Jun 2016,05 Jul 2016,-
500378,JINDALSAW,Jindal Saw Ltd,25 Aug 2016,Spin Off ,27 Aug 2016,-,-,22 Aug 2016,25 Aug 2016,-
532349,TCI,Transport Corporation of India Ltd,26 Aug 2016,Spin Off ,29 Aug 2016,-,-,22 Aug 2016,26 Aug 2016,-
533204,GBGLOBAL,GB Global Ltd,22 Sep 2016,Spin Off ,23 Sep 2016,-,-,16 Sep 2016,22 Sep 2016,-
512296,BHAGYANGR,Bhagyanagar India Ltd,10 Mar 2017,Spin Off ,14 Mar 2017,-,-,06 Mar 2017,10 Mar 2017,-
509220,PTL,PTL Enterprises Ltd,27 Mar 2017,Spin Off ,29 Mar 2017,-,-,22 Mar 2017,28 Mar 2017,-
533317,OMKARCHEM,Omkar Speciality Chemicals Ltd,12 Jun 2017,Spin Off ,13 Jun 2017,-,-,08 Jun 2017,12 Jun 2017,-
532815,SMSPHARMA,SMS Pharmaceuticals Ltd,22 Jun 2017,Spin Off ,23 Jun 2017,-,-,16 Jun 2017,22 Jun 2017,-
500300,GRASIM,Grasim Industries Ltd,19 Jul 2017,Spin Off ,20 Jul 2017,-,-,13 Jul 2017,19 Jul 2017,-
533602,LESHAIND,Lesha Industries Ltd,16 Aug 2017,Spin Off ,18 Aug 2017,-,-,10 Aug 2017,17 Aug 2017,-
504973,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,24 Aug 2017,Spin Off ,28 Aug 2017,-,-,18 Aug 2017,24 Aug 2017,-
532794,ZEEMEDIA,Zee Media Corporation Ltd,05 Oct 2017,Spin Off ,06 Oct 2017,-,-,28 Sep 2017,05 Oct 2017,-
532636,IIFL,IIFL Finance Ltd,17 Oct 2017,Spin Off ,18 Oct 2017,-,-,11 Oct 2017,16 Oct 2017,-
511108,SHIVATEX,Shiva Texyarn Ltd,03 Nov 2017,Spin Off ,06 Nov 2017,-,-,30 Oct 2017,03 Nov 2017,-
540064,FRETAIL,Future Retail Ltd,29 Nov 2017,Spin Off ,30 Nov 2017,-,-,23 Nov 2017,28 Nov 2017,-
502420,ORIENTPPR,Orient Paper & Industries Ltd,11 Jan 2018,Spin Off ,12 Jan 2018,-,-,05 Jan 2018,11 Jan 2018,-
532767,GAYAPROJ,Gayatri Projects Ltd,30 Jan 2018,Spin Off ,31 Jan 2018,-,-,23 Jan 2018,30 Jan 2018,-
539637,BVL,Blueblood Ventures Ltd,01 Feb 2018,Spin Off ,02 Feb 2018,-,-,25 Jan 2018,01 Feb 2018,-
590071,SUNDARMFIN,Sundaram Finance Ltd,01 Feb 2018,Spin Off ,02 Feb 2018,-,-,30 Jan 2018,01 Feb 2018,-
530475,TINNARUBR,Tinna Rubber and Infrastructure Ltd,14 Feb 2018,Spin Off ,15 Feb 2018,-,-,08 Feb 2018,14 Feb 2018,-
523842,SUPTANERY,Super Tannery Ltd,26 Feb 2018,Spin Off ,27 Feb 2018,-,-,20 Feb 2018,26 Feb 2018,-
532216,HBSL,HB Stockholdings Ltd,09 Mar 2018,Spin Off ,12 Mar 2018,-,-,05 Mar 2018,09 Mar 2018,-
532333,HBPOR,HB Portfolio Ltd,12 Mar 2018,Spin Off ,13 Mar 2018,-,-,06 Mar 2018,12 Mar 2018,-
531499,SYBLY,Sybly Industries Ltd,22 Mar 2018,Spin Off ,23 Mar 2018,-,-,16 Mar 2018,22 Mar 2018,-
533200,TALWALKARS,Talwalkars Better Value Fitness Ltd,27 Mar 2018,Spin Off ,28 Mar 2018,-,-,21 Mar 2018,27 Mar 2018,-
512599,ADANIENT,Adani Enterprises Ltd,05 Apr 2018,Spin Off ,06 Apr 2018,-,-,28 Mar 2018,05 Apr 2018,-
512529,SEQUENT,Sequent Scientific Ltd,06 Apr 2018,Spin Off ,09 Apr 2018,-,-,28 Mar 2018,06 Apr 2018,-
532531,STAR,Strides Pharma Science Ltd,06 Apr 2018,Spin Off ,09 Apr 2018,-,-,28 Mar 2018,06 Apr 2018,-
530377,NILAINFRA,Nila Infrastructures Ltd,14 Jun 2018,Spin Off ,15 Jun 2018,-,-,08 Jun 2018,14 Jun 2018,-
504084,KAYCEEI,Kaycee Industries Ltd,25 Jun 2018,Spin Off ,26 Jun 2018,-,-,19 Jun 2018,25 Jun 2018,-
532668,AURIONPRO,Aurionpro Solutions Ltd,14 Aug 2018,Spin Off ,17 Aug 2018,-,-,09 Aug 2018,14 Aug 2018,-
522292,CANDOUR,Candour Techtex Ltd,16 Aug 2018,Spin Off ,20 Aug 2018,-,-,10 Aug 2018,17 Aug 2018,-
512599,ADANIENT,Adani Enterprises Ltd,06 Sep 2018,Spin Off ,07 Sep 2018,-,-,31 Aug 2018,06 Sep 2018,-
526737,CORPOCO,Corporate Courier and Cargo Ltd,19 Sep 2018,Spin Off ,21 Sep 2018,-,-,12 Sep 2018,19 Sep 2018,-
500084,CESC,CESC Ltd,30 Oct 2018,Spin Off ,31 Oct 2018,-,-,24 Oct 2018,30 Oct 2018,-
530961,VIKASECO,Vikas EcoTech Ltd,19 Nov 2018,Spin Off ,21 Nov 2018,-,-,14 Nov 2018,19 Nov 2018,-
500101,ARVIND,Arvind Ltd,28 Nov 2018,Spin Off ,29 Nov 2018,-,-,20 Nov 2018,28 Nov 2018,-
532400,BSOFT,Birlasoft Ltd,24 Jan 2019,Spin Off ,25 Jan 2019,-,-,18 Jan 2019,24 Jan 2019,-
512565,NEELKANTH,Neelkanth Ltd,24 Jan 2019,Spin Off ,25 Jan 2019,-,-,22 Jan 2019,24 Jan 2019,-
532662,HTMEDIA,HT Media Ltd,09 Apr 2019,Spin Off ,10 Apr 2019,-,-,03 Apr 2019,09 Apr 2019,-
506022,PRAKASH,Prakash Industries Ltd,23 Apr 2019,Spin Off ,24 Apr 2019,-,-,15 Apr 2019,23 Apr 2019,-
502820,DCM,DCM Ltd,30 May 2019,Spin Off ,31 May 2019,-,-,24 May 2019,30 May 2019,-
532636,IIFL,IIFL Finance Ltd,30 May 2019,Spin Off ,31 May 2019,-,-,24 May 2019,30 May 2019,-
523537,APMIN,APM Industries Ltd,17 Jun 2019,Spin Off ,18 Jun 2019,-,-,11 Jun 2019,17 Jun 2019,-
524208,AARTIIND,Aarti Industries Ltd,03 Jul 2019,Spin Off ,04 Jul 2019,-,-,01 Jul 2019,03 Jul 2019,-
532371,TTML,Tata Teleservices (Maharashtra) Ltd,11 Jul 2019,Spin Off ,12 Jul 2019,-,-,05 Jul 2019,11 Jul 2019,-
526797,GREENPLY,Greenply Industries Ltd,12 Jul 2019,Spin Off ,15 Jul 2019,-,-,08 Jul 2019,12 Jul 2019,-
500173,GFLLIMITED,GFL Ltd,06 Aug 2019,Spin Off ,07 Aug 2019,-,-,31 Jul 2019,06 Aug 2019,-
500187,AGI,Agi Greenpac Ltd,19 Aug 2019,Spin Off ,20 Aug 2019,-,-,09 Aug 2019,19 Aug 2019,-
506235,ALEMBICLTD,Alembic Ltd,26 Aug 2019,Spin Off ,27 Aug 2019,-,-,20 Aug 2019,26 Aug 2019,-
500483,TATACOMM,Tata Communications Ltd,17 Sep 2019,Spin Off ,18 Sep 2019,-,-,11 Sep 2019,17 Sep 2019,-
500040,ABREL,Aditya Birla Real Estate Ltd,11 Oct 2019,Spin Off ,14 Oct 2019,-,-,04 Oct 2019,11 Oct 2019,-
500413,THOMASCOOK,Thomas Cook (India) Ltd,05 Dec 2019,Spin Off ,06 Dec 2019,-,-,29 Nov 2019,05 Dec 2019,-
500002,ABB,ABB India Ltd,20 Dec 2019,Spin Off ,23 Dec 2019,-,-,16 Dec 2019,20 Dec 2019,-
502937,KESORAMIND,Kesoram Industries Ltd,24 Dec 2019,Spin Off ,26 Dec 2019,-,-,19 Dec 2019,24 Dec 2019,-
500227,JINDALPOLY,Jindal Poly Films Ltd,30 Dec 2019,Spin Off ,31 Dec 2019,-,-,24 Dec 2019,30 Dec 2019,-
530239,SUVEN,Suven Life Sciences Ltd,21 Jan 2020,Spin Off ,22 Jan 2020,-,-,15 Jan 2020,21 Jan 2020,-
532994,ARCHIDPLY,Archidply Industries Ltd,13 Feb 2020,Spin Off ,14 Feb 2020,-,-,07 Feb 2020,13 Feb 2020,-
500770,TATACHEM,Tata Chemicals Ltd,04 Mar 2020,Spin Off ,05 Mar 2020,-,-,27 Feb 2020,04 Mar 2020,-
502219,BORORENEW,Borosil Renewables Ltd,06 Mar 2020,Spin Off ,09 Mar 2020,-,-,02 Mar 2020,06 Mar 2020,-
