Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
531515,MAHANIN,Mahan Industries Ltd,15 Jan 2010,Stock  Split From Rs.10/- to Rs.1/-,18 Jan 2010,-,-,11 Jan 2010,15 Jan 2010,-
506146,VIVIDHA,Visagar Polytex Ltd,21 Jan 2010,Stock  Split From Rs.10/- to Rs.1/-,22 Jan 2010,-,-,15 Jan 2010,21 Jan 2010,-
514348,WINSOME,Winsome Yarns Ltd,21 Jan 2010,Stock  Split From Rs.10/- to Rs.1/-,22 Jan 2010,-,-,15 Jan 2010,21 Jan 2010,-
521030,NAKODA,Nakoda Ltd,22 Jan 2010,Stock  Split From Rs.10/- to Rs.5/-,25 Jan 2010,-,-,18 Jan 2010,22 Jan 2010,-
500031,BAJAJELEC,Bajaj Electricals Ltd,28 Jan 2010,Stock  Split From Rs.10/- to Rs.2/-,29 Jan 2010,-,-,21 Jan 2010,28 Jan 2010,-
532902,CCCL,Consolidated Construction Consortium Ltd,10 Feb 2010,Stock  Split From Rs.10/- to Rs.2/-,11 Feb 2010,-,-,04 Feb 2010,10 Feb 2010,-
530813,KRBL,KRBL Ltd,10 Feb 2010,Stock  Split From Rs.10/- to Rs.1/-,12 Feb 2010,-,-,05 Feb 2010,10 Feb 2010,-
502015,ASIIL,ASI Industries Ltd,18 Feb 2010,Stock  Split From Rs.10/- to Rs.5/-,19 Feb 2010,-,-,11 Feb 2010,18 Feb 2010,-
532975,TELOGICA,Telogica Ltd,24 Feb 2010,Stock  Split From Rs.10/- to Rs.5/-,25 Feb 2010,-,-,18 Feb 2010,24 Feb 2010,-
515147,HALDYNGL,Haldyn Glass Ltd,25 Feb 2010,Stock  Split From Rs.10/- to Rs.1/-,26 Feb 2010,-,-,19 Feb 2010,25 Feb 2010,-
524687,BASANTGL,Basant Agro Tech India Ltd,26 Feb 2010,Stock  Split From Rs.10/- to Rs.1/-,02 Mar 2010,-,-,22 Feb 2010,26 Feb 2010,-
532374,STLTECH,Sterlite Technologies Ltd,09 Mar 2010,Stock  Split From Rs.5/- to Rs.2/-,10 Mar 2010,-,-,03 Mar 2010,09 Mar 2010,-
532320,VAARAD,Vaarad Ventures Ltd,09 Mar 2010,Stock  Split From Rs.10/- to Rs.2/-,10 Mar 2010,-,-,03 Mar 2010,09 Mar 2010,-
532509,SUPRAJIT,Suprajit Engineering Ltd,18 Mar 2010,Stock  Split From Rs.5/- to Rs.1/-,20 Mar 2010,-,-,12 Mar 2010,18 Mar 2010,-
524494,IPCALAB,Ipca Laboratories Ltd,22 Mar 2010,Stock  Split From Rs.10/- to Rs.2/-,23 Mar 2010,-,-,15 Mar 2010,22 Mar 2010,-
