,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,Ratio
0,521030,NAKODA,Nakoda Ltd-$,22 Jan 2010,Bonus issue 1:1,25 Jan 2010,-,-,18 Jan 2010,22 Jan 2010,-,1:1
1,531959,NEWINFRA,Newtime Infrastructure Ltd,28 Jan 2010,Bonus issue 2:1,30 Jan 2010,-,-,22 Jan 2010,28 Jan 2010,-,2:1
2,508860,DIAMANT,Diamant Infrastructure Ltd,08 Feb 2010,Bonus issue 3:1,09 Feb 2010,-,-,02 Feb 2010,08 Feb 2010,-,3:1
3,523842,SUPTANERY,Super Tannery Ltd,08 Feb 2010,Bonus issue 1:2,09 Feb 2010,-,-,02 Feb 2010,08 Feb 2010,-,1:2
4,531266,VSTTILLERS,VST Tillers Tractors Ltd-$,08 Feb 2010,Bonus issue 1:2,09 Feb 2010,-,-,02 Feb 2010,08 Feb 2010,-,1:2
5,532666,FCSSOFT,FCS Software Solutions Ltd,26 Feb 2010,Bonus issue 1:1,02 Mar 2010,-,-,22 Feb 2010,26 Feb 2010,-,1:1
6,500093,CGPOWER,CG Power and Industrial Solutions Ltd,08 Mar 2010,Bonus issue 3:4,09 Mar 2010,-,-,02 Mar 2010,08 Mar 2010,-,3:4
7,532374,STLTECH,Sterlite Technologies Ltd,09 Mar 2010,Bonus issue 1:1,10 Mar 2010,-,-,03 Mar 2010,09 Mar 2010,-,1:1
8,530871,CHEMBOND,Chembond Chemicals Ltd-$,10 Mar 2010,Bonus issue 1:1,11 Mar 2010,-,-,04 Mar 2010,10 Mar 2010,-,1:1
9,500331,PIDILITIND,Pidilite Industries Ltd,15 Mar 2010,Bonus issue 1:1,17 Mar 2010,-,-,10 Mar 2010,16 Mar 2010,-,1:1
10,532670,RENUKA,Shree Renuka Sugars Ltd,15 Mar 2010,Bonus issue 1:1,17 Mar 2010,-,-,10 Mar 2010,16 Mar 2010,-,1:1
11,530747,CHALLANI,Challani Capital Ltd,18 Mar 2010,Bonus issue 2:1,19 Mar 2010,-,-,12 Mar 2010,18 Mar 2010,-,2:1
12,530773,IVRCLINFRA,IVRCL Ltd,18 Mar 2010,Bonus issue 1:1,19 Mar 2010,-,-,12 Mar 2010,18 Mar 2010,-,1:1
13,532509,SUPRAJIT,Suprajit Engineering Ltd-$,18 Mar 2010,Bonus issue 1:1,20 Mar 2010,-,-,12 Mar 2010,18 Mar 2010,-,1:1
14,504351,EMPOWER,Empower India Ltd,23 Mar 2010,Bonus issue 23:2,25 Mar 2010,-,-,17 Mar 2010,23 Mar 2010,-,23:2
15,531768,POLYMED,Poly Medicure Ltd,26 Mar 2010,Bonus issue 1:1,29 Mar 2010,-,-,19 Mar 2010,26 Mar 2010,-,1:1
16,532321,ZYDUSLIFE,Zydus Lifesciences Ltd,05 Apr 2010,Bonus issue 1:2,06 Apr 2010,-,-,26 Mar 2010,05 Apr 2010,-,1:2
17,500870,CASTROLIND,Castrol India Ltd,09 Apr 2010,Bonus issue 1:1,12 Apr 2010,-,-,05 Apr 2010,09 Apr 2010,-,1:1
18,504398,SJCORP,SJ Corporation Ltd,12 Apr 2010,Bonus issue 3:1,14 Apr 2010,-,-,07 Apr 2010,12 Apr 2010,-,3:1
19,531213,MANAPPURAM,Manappuram Finance Ltd,03 May 2010,Bonus issue 1:1,04 May 2010,-,-,27 Apr 2010,03 May 2010,-,1:1
20,532178,ENGINERSIN,Engineers India Ltd,06 May 2010,Bonus issue 2:1,07 May 2010,-,-,30 Apr 2010,06 May 2010,-,2:1
21,503663,TILAK,Tilak Ventures Ltd,10 May 2010,Bonus issue 4:1,18 May 2010,-,-,10 May 2010,21 May 2010,-,4:1
22,532900,PAISALO,Paisalo Digital Ltd,18 May 2010,Bonus issue 3:1,19 May 2010,-,-,12 May 2010,18 May 2010,-,3:1
23,500355,RALLIS,Rallis India Ltd,08 Jun 2010,Bonus issue 1:2,09 Jun 2010,-,-,02 Jun 2010,08 Jun 2010,-,1:2
24,532175,CYIENT,Cyient Ltd,10 Jun 2010,Bonus issue 1:1,12 Jun 2010,-,-,07 Jun 2010,10 Jun 2010,-,1:1
25,507685,WIPRO,Wipro Ltd,15 Jun 2010,Bonus issue 2:3,16 Jun 2010,-,-,09 Jun 2010,15 Jun 2010,-,2:3
26,590078,MAITHANALL,Maithan Alloys Ltd,17 Jun 2010,Bonus issue 1:2,19 Jun 2010,-,-,14 Jun 2010,17 Jun 2010,-,1:2
27,517447,RSSOFTWARE,R.S. Software (India) Ltd,21 Jun 2010,Bonus issue 28100     ,22 Jun 2010,-,-,15 Jun 2010,21 Jun 2010,-,28100
28,500165,KANSAINER,Kansai Nerolac Paints Ltd,23 Jun 2010,Bonus issue 1:1,24 Jun 2010,-,-,17 Jun 2010,23 Jun 2010,-,1:1
29,505978,TRITONV,Triton Valves Ltd,05 Jul 2010,Bonus issue 2:1,06 Jul 2010,-,-,29 Jun 2010,05 Jul 2010,-,2:1
30,503101,MARATHON,Marathon Nextgen Realty Ltd,06 Jul 2010,Bonus issue 1:2,07 Jul 2010,-,-,29 Jun 2010,06 Jul 2010,-,1:2
31,523642,PIIND,PI Industries Ltd,08 Jul 2010,Bonus issue 1:2,-,10 Jul 2010,10 Jul 2010,05 Jul 2010,08 Jul 2010,-,1:2
32,504392,KRISHNA,Krishna Ventures Ltd,09 Jul 2010,Bonus issue 5:1,-,23 Jul 2010,23 Jul 2010,09 Jul 2010,28 Jul 2010,-,5:1
33,505355,NESCO,NESCO Ltd,20 Jul 2010,Bonus issue 1:1,21 Jul 2010,-,-,14 Jul 2010,20 Jul 2010,-,1:1
34,504067,ZENSARTECH,Zensar Technologies Ltd,21 Jul 2010,Bonus issue 1:1,-,23 Jul 2010,26 Jul 2010,16 Jul 2010,22 Jul 2010,-,1:1
