Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500710,AKZOINDIA,Akzo Nobel India Ltd,07 Jun 2012,Buy Back of Shares ,08 Jun 2012,-,-,06 Jun 2012,07 Jun 2012,-
526725,SANDESH,Sandesh Ltd,31 Jan 2013,Buy Back of Shares ,01 Feb 2013,-,-,24 Jan 2013,31 Jan 2013,-
509546,GRAVISSHO,Graviss Hospitality Ltd,21 Feb 2013,Buy Back of Shares ,22 Feb 2013,-,-,14 Feb 2013,21 Feb 2013,-
506285,BAYERCROP,Bayer CropScience Ltd,07 Oct 2013,Buy Back of Shares ,08 Oct 2013,-,-,30 Sep 2013,07 Oct 2013,-
523023,SINCLAIR,Sinclairs Hotels Ltd,31 Oct 2013,Buy Back of Shares ,01 Nov 2013,-,-,25 Oct 2013,31 Oct 2013,-
533098,NHPC,NHPC Ltd,07 Nov 2013,Buy Back of Shares ,08 Nov 2013,-,-,31 Oct 2013,07 Nov 2013,-
532705,JAGRAN,Jagran Prakashan Ltd,13 Nov 2013,Buy Back of Shares ,15 Nov 2013,-,-,07 Nov 2013,13 Nov 2013,-
511333,VLSFINANCE,VLS Finance Ltd,26 Dec 2013,Buy Back of Shares ,27 Dec 2013,-,-,19 Dec 2013,26 Dec 2013,-
530695,PRIMEPRO,Prime Property Development Corporation Ltd,23 May 2014,Buy Back of Shares ,26 May 2014,-,-,19 May 2014,23 May 2014,-
524480,RIDDHI,Riddhi Siddhi Gluco Biols Ltd,07 Aug 2014,Buy Back of Shares ,08 Aug 2014,-,-,01 Aug 2014,07 Aug 2014,-
526161,SPENTA,Spenta International Ltd,01 Jan 2015,Buy Back of Shares ,02 Jan 2015,-,-,26 Dec 2014,01 Jan 2015,-
532663,SASKEN,Sasken Technologies Ltd,06 Jul 2015,Buy Back of Shares ,07 Jul 2015,-,-,30 Jun 2015,06 Jul 2015,-
506390,HEUBACHIND,Heubach Colorants India Ltd,17 Jul 2015,Buy Back of Shares ,20 Jul 2015,-,-,13 Jul 2015,17 Jul 2015,-
506285,BAYERCROP,Bayer CropScience Ltd,03 Aug 2015,Buy Back of Shares ,04 Aug 2015,-,-,28 Jul 2015,03 Aug 2015,-
524727,SDL,Span Divergent Ltd,20 Aug 2015,Buy Back of Shares ,21 Aug 2015,-,-,13 Aug 2015,20 Aug 2015,-
526807,SEAMECLTD,Seamec Ltd,08 Oct 2015,Buy Back of Shares ,09 Oct 2015,-,-,08 Oct 2015,08 Oct 2015,-
